"ITL3.Region","average_pre_2009","average_post_2009"
"Mid Lancashire",0.00939029228937971,0.0136091954022988
"Mid Ulster",0.00730337078651685,-0.00952380952380952
"Milton Keynes",0.00232641374373658,0.0135211267605634
"Monmouthshire and Newport",0.00900377577693872,-0.000797607178464606
"Na h-Eileanan Siar",0.0261437908496732,0.0115163147792706
"Newry, Mourne and Down",0.0102498398462524,-0.0102726195179771
"North and North East Lincolnshire",-0.00109529025191676,0.00206185567010309
"North and West Norfolk",0.0174005681818182,0.00598802395209581
"North Hampshire",-0.00203031943692474,0.00379202831381141
"North Lanarkshire",0.00703883495145631,0.00546448087431694
"North Northamptonshire",0.00957290132547865,0.0116542007305618
"North Nottinghamshire",0.00498624484181568,0.0157790927021696
"North Yorkshire CC",0.000119875329657157,-0.000314985431923774
"Northumberland",0.000572737686139748,0.0070635721493441
"Norwich and East Norfolk",0.0214160839160839,0.00742380828340714
"Nottingham",0.00721054800164812,0.0221145483911045
"Orkney Islands",0.0255591054313099,0.0104529616724739
"Oxfordshire",0.004422144740199,0.0127381225613955
"Perth and Kinross and Stirling",0.00632744529396256,-0.00236047883999326
"Peterborough",0.0154686078252957,0.00750659362953946
"Plymouth",0.0107130900569133,0.021143473570658
"Portsmouth",-0.010221465076661,0.00594384095101455
"Powys",0.012448132780083,0.000974658869395711
"Redbridge and Waltham Forest",0.0113507377979569,0.00181629475869227
"Sandwell",0.00597800095648015,0.00866126906420636
"Scottish Borders",0.00485773768216516,0.00297914597815293
"Sefton",0.0212601468882876,0.00268489138393947
"Sheffield",0.00374947923899458,0.00087627059235892
"Shetland Islands",0.0166666666666667,0
"Shropshire CC",0.005,-0.00311983850247752
"Solihull",0.00411522633744856,0.0106547516755456
"Somerset",0.00520416333066453,0.00165722966441099
"South and West Derbyshire",0.00361180904522613,0.0185891325071497
"South Ayrshire",0.00775193798449612,0.00477430555555556
"South Hampshire",-0.00435323383084577,0.00813713789736357
"South Lanarkshire",0.00704934541792548,0.00293733681462141
"South Nottinghamshire",0.00464756003098373,0.00765724703737466
"South Teesside",0.0143839899937461,0.00456422516844164
"South West Wales",0.0120336943441637,0.00804106073567151
"Southampton",-0.00488599348534202,0.00643500643500643
"Southend-on-Sea",0.010894495412844,-0.0039313795568263
"Staffordshire CC",0.00480181595949013,0.002819247773435
"Stoke-on-Trent",0.00374414976599064,0.00742942050520059
"Suffolk",0.0172479512102154,0.00681689074039008
"Sunderland",0.00100959111559818,0.00396432111000991
"Swansea",0.0126538987688098,0.00773029847541336
"Swindon",0.00619692448932752,0.0013468838006612
"Telford and Wrekin",0.00699572483482316,0.00199203187250996
"Thurrock",0.00445885691122821,0.00384047267355982
"Torbay",0.0102564102564103,0.0130497825036249
