"ITL3.Region","average_pre_2009","average_post_2009"
"Mid Kent",0.0345927379784102,0.049597423510467
"Mid Lancashire",0.0498869062578537,0.021856449001619
"Mid Ulster",0.0646347871781398,0.0520043336944745
"Milton Keynes",0.0400274866861364,0.0498875923348678
"Monmouthshire and Newport",0.0417478430281102,0.033718689788054
"Na h-Eileanan Siar",0.0670731707317073,0.0440366972477064
"Newry, Mourne and Down",0.0624624624624625,0.0120999219359875
"North and North East Lincolnshire",0.00890143291359097,0.0316600114090131
"North and West Norfolk",0.0346246143297909,0.0270333255651363
"North Hampshire",0.0275108595498223,0.047897946084724
"North Lanarkshire",0.0195145168967158,0.0196943437844651
"North Northamptonshire",0.0288438617401669,0.0553729871837003
"North Nottinghamshire",0.0377233620119126,0.0349750178443969
"North Yorkshire CC",0.0254672897196262,0.0122121966397013
"Northumberland",0.0113250283125708,0.0350535540408958
"Norwich and East Norfolk",0.0384534566085312,0.0222844772698332
"Nottingham",0.0427923486491816,0.0416716275747113
"Orkney Islands",0.0600600600600601,0.0304054054054054
"Oxfordshire",0.0463098134630981,0.0434162138426917
"Perth and Kinross and Stirling",-0.00636773680021226,-0.0157561226237369
"Peterborough",0.0308641975308642,0.0391812865497076
"Plymouth",0.051143583227446,0.0457072266831377
"Portsmouth",0.0326301911667765,0.0378623545651745
"Powys",0.0334224598930481,0.0293282876064333
"Redbridge and Waltham Forest",0.056745182012848,0.0391423585140863
"Sandwell",0.0157684160979054,0.022455365359838
"Scottish Borders",0.0027681660899654,0.0199513381995134
"Sefton",0.0653901734104046,0.0357731230877854
"Sheffield",0.010443864229765,0.0257811166126003
"Shetland Islands",0.0344827586206897,0.00428571428571429
"Shropshire CC",0.0208709095593919,0.0300818796724813
"Solihull",0.0180774138664398,0.0846311153059619
"Somerset",0.0686055182699478,0.0459815546772069
"South and West Derbyshire",0.0286760219646126,0.0644370122630992
"South Ayrshire",0.0239596469104666,0.0327455919395466
"South Hampshire",0.015761285386381,0.0635033529770372
"South Lanarkshire",0.0190170412447518,0.00438667749796913
"South Nottinghamshire",0.0410992820004952,0.0327984482454594
"South Teesside",0.0332527206771463,0.0132961612695689
"South West Wales",-0.000240731824747232,0.0342035690680767
"Southampton",-0.00299482711679826,0.0432507311066646
"Southend-on-Sea",0.0380584666298952,0.0281347690170198
"Staffordshire CC",0.0201881950384944,0.050611351055417
"Stoke-on-Trent",0.0111076828139463,0.0298599670510708
"Suffolk",0.0392749244712991,0.0252261121023811
"Sunderland",-0.0140772971589455,0.00345679012345679
"Swansea",0.0171428571428571,0.00491452991452991
"Swindon",0.0384021187375855,0.00909973307449648
"Telford and Wrekin",0.0253787878787879,0.034084661902144
"Thurrock",-0.0098239869013508,0.0454032712915962
"Torbay",0.0586206896551724,0.0327255726975222
"Tower Hamlets",0.004455533772946,0.0288563049853372
"Tyneside",0.00952710895548242,0.0411278237220403
"Wakefield",0.0501938379922465,-0.00595601710445938
"Walsall",0.0290322580645161,0.0469215491559086
"Wandsworth",0.0818452380952381,0.0298719772403983
"Warrington",0.0270205066344994,0.0294117647058824
"Warwickshire",0.070910391335445,0.0489366242264741
"West Cumbria",0.0392212189616253,0.0347062513067113
"West Essex",0.0415335463258786,0.0523684210526316
"West Kent",0.035664226755957,0.0458407636630651
"West Lothian",0.0393541876892028,0.0415349887133183
"West Northamptonshire",0.0192521877486078,0.047087232115907
"West Surrey",0.0653006733224983,0.0397935463535716
"West Sussex (North East)",0.0626588713777326,0.052598168132765
"West Sussex (South West)",0.0732959101844427,0.0495390425413751
"Westminster",0.0601142696904904,0.0398792169929196
"Wiltshire",0.0478674440012274,0.0518031480374577
"Wirral",0.0710365853658537,0.0340245621099255
"Wolverhampton",0.0418118466898955,0.0340685309176841
"Worcestershire",0.0459770114942529,0.0363857938718663
"York",0.0373858447488584,0.038749532010483
"Grand Total",0.039982541310941,0.0330224075203798
